MRR,Hit@1,Recall@1,Hit@3,Recall@3,Hit@5,Recall@5,Hit@10,Recall@10,chunk_size,overlap,k,config
0.13424723424723425,0.1,0.1,0.1,0.1,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.26666666666666666,700,70,12,"(700, 70, 12)"
0.13230994152046785,0.1,0.1,0.1,0.1,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.26666666666666666,700,70,10,"(700, 70, 10)"
0.13108585858585858,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.2,0.3,0.3,900,90,10,"(900, 90, 10)"
0.1303166278166278,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.2,0.26666666666666666,0.26666666666666666,900,90,12,"(900, 90, 12)"
0.1300925925925926,0.1,0.1,0.1,0.1,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.26666666666666666,700,70,8,"(700, 70, 8)"
0.12842592592592592,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.2,0.3,0.3,900,90,8,"(900, 90, 8)"
0.126984126984127,0.1,0.1,0.1,0.1,0.16666666666666666,0.16666666666666666,0.23333333333333334,0.23333333333333334,700,70,6,"(700, 70, 6)"
0.12472222222222222,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.2,0.26666666666666666,0.26666666666666666,900,90,6,"(900, 90, 6)"
0.12222222222222222,0.1,0.1,0.1,0.1,0.16666666666666666,0.16666666666666666,0.2,0.2,700,70,4,"(700, 70, 4)"
0.11388888888888889,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.16666666666666666,0.2,0.2,900,90,4,"(900, 90, 4)"
